Code,Area,2012,2013,2014,2015,2016,2017
E09000001,City of London,x,x,x,x,x,x
E09000002,Barking and Dagenham,6.91,7.05,7.16,7.26,7.45,7.38
E09000003,Barnet,7.26,7.23,7.53,7.44,7.62,7.63
E09000004,Bexley,7.22,7.18,7.30,7.38,7.29,7.45
E09000005,Brent,7.07,7.19,7.31,7.32,7.53,7.59
E09000006,Bromley,7.44,7.38,7.58,7.48,7.51,7.34
E09000007,Camden,7.24,7.10,7.18,7.17,7.24,7.35
E09000008,Croydon,7.21,7.08,7.28,7.40,7.23,7.61
E09000009,Ealing,7.01,7.41,7.20,7.47,7.52,7.35
E09000010,Enfield,7.16,7.42,7.40,7.46,7.40,7.23
E09000011,Greenwich,7.08,7.05,7.20,7.16,7.07,7.27
E09000012,Hackney,7.09,7.06,6.81,7.22,7.25,7.10
E09000013,Hammersmith and Fulham,7.19,6.96,7.19,7.39,7.45,7.43
E09000014,Haringey,7.10,7.09,7.28,7.27,7.23,7.38
E09000015,Harrow,7.32,7.39,7.49,7.53,7.46,7.72
E09000016,Havering,7.25,7.18,7.35,7.32,7.53,7.44
E09000017,Hillingdon,7.31,7.34,7.47,7.34,7.37,7.36
E09000018,Hounslow,7.39,7.27,7.49,7.53,7.47,7.91
E09000019,Islington,7.14,6.91,7.20,7.18,7.11,7.31
E09000020,Kensington and Chelsea,7.49,7.56,7.61,7.40,7.60,7.52
E09000021,Kingston upon Thames,7.27,7.10,7.57,7.48,7.59,7.58
E09000022,Lambeth,7.16,7.00,7.17,7.29,7.11,7.21
E09000023,Lewisham,7.11,7.12,7.42,7.17,7.26,7.25
E09000024,Merton,7.00,7.14,7.22,7.51,7.50,7.66
E09000025,Newham,7.05,7.32,7.37,7.51,7.62,7.54
E09000026,Redbridge,7.44,7.37,7.25,7.44,7.67,7.53
E09000027,Richmond upon Thames,7.21,7.35,7.54,7.49,7.65,7.58
E09000028,Southwark,7.25,7.15,7.29,7.45,7.35,7.33
E09000029,Sutton,7.13,7.20,7.28,7.48,7.28,7.54
E09000030,Tower Hamlets,7.03,7.38,7.52,7.28,7.58,7.55
E09000031,Waltham Forest,7.16,7.26,7.13,7.38,7.51,7.62
E09000032,Wandsworth,7.33,7.28,7.51,7.42,7.44,7.55
E09000033,Westminster,7.28,7.00,7.11,7.37,7.41,7.56